Health Center Type,Health Center Number,BHCMIS Organization Identification Number,BPHC Assigned Number,Site Name,Site Address,Site City,Site State Abbreviation,Site Postal Code,Site Telephone Number,Site Web Address,Operating Hours per Week,Health Center Location Setting Identification Number,Health Center Service Delivery Site Location Setting Description,Health Center Status Identification Number,Site Status Description,FQHC Site Medicare Billing Number,FQHC Site NPI Number,Health Center Location Identification Number,Health Center Location Type Description,Health Center Type Identification Number,Health Center Type Description,Health Center Operator Identification Number,Health Center Operator Description,Health Center Operating Schedule Identification Number,Health Center Operational Schedule Description,Health Center Operating Calendar Surrogate Key,Health Center Operating Calendar,Site Added to Scope this Date,Health Center Name,Health Center Organization Street Address,Health Center Organization City,Health Center Organization State,Health Center Organization ZIP Code,Grantee Organization Type Description,Geocoding Artifact Address Primary X Coordinate,Geocoding Artifact Address Primary Y Coordinate,U.S. - Mexico Border 100 Kilometer Indicator,U.S. - Mexico Border County Indicator,State and County Federal Information Processing Standard Code,Complete County Name,County Equivalent Name,County Description,HHS Region Code,HHS Region Name,State FIPS Code,State Name,State FIPS and Congressional District Number Code,Congressional District Number,Congressional District Name,Congressional District Code,U.S. Congressional Representative Name,Name of U.S. Senator Number One,Name of U.S. Senator Number Two,Data Warehouse Record Create Date
Federally Qualified Health Center (FQHC),H80CS00418,82500,BPS-H80-030287,Healthcare For the Homeless,2424 1st Ave N,Billings,MT,59101-2317,406-671-9731,,30,7,All Other Clinic Types,1,Active,271863,1528575685,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,1/28/2020,YELLOWSTONE CITY COUNTY HEALTH DEPARTMENT,123 S 27th St,Billings,MT,59101-4227,U.S. Government Entity,-108.5015502,45.78395623,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS01451,811480,BPS-H80-039966,GCHC Pharmacy,601 West Main Street,Cut Bank,MT,59427-2804,406-873-0404,www.glacierchc.org,,0,Unknown,1,Active,,1780764274,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,3/19/2025,GLACIER COMMUNITY HEALTH CENTER INC,519 East Main Street,Cut Bank,MT,59427-3015,"Corporate Entity, Federal Tax Exempt",-112.3401377,48.6394795,N,N,30035,Glacier County,Glacier,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-029786,One Health - Miles City Dental,2811 Comstock St,Miles City,MT,59301-5754,406-874-8730,www.bighornvalley.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/18/2019,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8245396,46.40100542,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-039068,PureView HMS,1025 North Rodney Street,Helena,MT,59601-3595,406-500-2050,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/16/2024,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.0261901,46.59579544,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-034307,Community Health Care Center - Silver State Bldg - Admin,18 6th Street North,Great Falls,MT,59401-3192,406-454-6973,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,2/28/2022,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2973751,47.50598761,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-034148,One Health - Crow Public School,101 Makata St FL 1,Crow Agency,MT,59022-7066,406-665-4103,,30,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,12/28/2021,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-107.4581468,45.60377364,N,N,30003,Big Horn County,Big Horn,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038847,CHP - Bozeman High School,205 North 11th Avenue,Bozeman,MT,59715-3287,406-522-6200,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/14/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-111.0514553,45.68260499,N,N,30031,Gallatin County,Gallatin,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-035142,Community Health Care Center - Choteau,19 1st Street Northeast,Choteau,MT,59422-9275,406-454-6973,,45,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/7/2022,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-112.1831063,47.8124895,N,N,30099,Teton County,Teton,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-008773,Mobile Dental Unit,3450 Duck Creek Road,Billings,MT,59101-6170,800-813-4492,https://www.agworker.org,40,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,2,Seasonal,6/29/2009,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-108.6390335,45.70652937,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-035641,Community Health Care Center Whittier Elementary,305 8th Street North,Great Falls,MT,59401-1599,406-454-6973,www.alluvionhealth.org,20,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/22/2022,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2937992,47.50896507,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038846,One Health - Panther Clinic,410 Triple Crown Road,Belgrade,MT,59714,406-388-3311,,32,2,School,1,Active,,1366049967,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/14/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-111.1837105,45.78383927,N,N,30031,Gallatin County,Gallatin,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-032088,One Health - Miles City Office,2911 Mallet Lane,Miles City,MT,59301-8526,406-874-8700,,,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,3/1/2021,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8234457,46.40600661,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00799,83270,BPS-H80-032882,Blacktail Dental Clinic,122 E Glendale St,Dillon,MT,59725,406-683-4440,,32,7,All Other Clinic Types,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/4/2021,"BUTTE-SILVER BOW PRIMARY HEALTH CARE CLINIC, INC",445 Centennial Ave,Butte,MT,59701-2870,"Corporate Entity, Federal Tax Exempt",-112.6370515,45.21608583,N,N,30001,Beaverhead County,Beaverhead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00704,82160,BPS-H80-031578,"""transport"" vehicle","3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,800-813-4492,www.agworker.org,40,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/1/2020,MONTANA MIGRANT & SEASONAL FARM WORKERS,"3318 3rd Ave N, Ste 200",Billings,MT,59101-1900,"Corporate Entity, Federal Tax Exempt",-108.5144502,45.78042888,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00799,83270,BPS-H80-003105,BUTTE-SILVER BOW PRIMARY HEALTH CARE,445 Centennial Ave,Butte,MT,59701-2870,406-723-4075,WWW.SWMTCHC.ORG,72,7,All Other Clinic Types,1,Active,271801,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,1/3/1986,"BUTTE-SILVER BOW PRIMARY HEALTH CARE CLINIC, INC",445 Centennial Ave,Butte,MT,59701-2870,"Corporate Entity, Federal Tax Exempt",-112.5408426,45.9981592,N,N,30093,Silver Bow County,Silver Bow,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-036025,One Health - Home Base,8 N 6th St,Miles City,MT,59301-3102,406-851-5824,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/8/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-105.8507388,46.40651711,N,N,30017,Custer County,Custer,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-038850,One Health - Belgrade,19 East Main Street,Belgrade,MT,59714-3715,406-922-0820,,49,7,All Other Clinic Types,1,Active,,1447494000,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,5/14/2024,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-111.1766358,45.77596225,N,N,30031,Gallatin County,Gallatin,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-036406,Community Health Care Center - SBHC Mountain View Elementary,3420 15th Ave S,Great Falls,MT,59405-5514,406-454-6973,www.alluvionhealth.org,20,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,3/3/2023,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2449477,47.48722128,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-031308,Community Health Care Center - Longfellow Elementary,1101 7th Ave S RM 109,Great Falls,MT,59405-2267,406-454-6973,,52.5,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/11/2020,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2886854,47.49755353,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS01451,811480,BPS-H80-003636,GLACIER COMMUNITY HEALTH CENTER,519 East Main Street,Cut Bank,MT,59427-3015,406-873-5670,www.glacierchc.org,57,7,All Other Clinic Types,1,Active,271823,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,1,Full-Time,1,Year-Round,2/24/2004,GLACIER COMMUNITY HEALTH CENTER INC,519 East Main Street,Cut Bank,MT,59427-3015,"Corporate Entity, Federal Tax Exempt",-112.3256708,48.63255894,N,N,30035,Glacier County,Glacier,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-038989,PHC - Russell Elementary - Behavioral Health,3216 Russell Street,Missoula,MT,59801-8595,406-370-0487,,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/24/2024,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.0182685,46.84060183,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-037257,PureView Capital High School Clinic,100 Valley Dr,Helena,MT,59601-0163,406-457-0000,http://pureviewhealthcenter.org/,45,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/8/2023,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.0481648,46.61452275,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-035744,Community Health Care Center - 510 1st Ave N,510 1st Avenue North,Great Falls,MT,59401-2592,406-454-6973,www.alluvionhealth.org,55,7,All Other Clinic Types,1,Active,,,1,Permanent,3,Administrative/Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/30/2022,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.2982042,47.50638281,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS01451,811480,BPS-H80-008142,Annex,140 S Central Ave,Cut Bank,MT,59427-3298,406-873-5670,www.glacierchc.org,40,7,All Other Clinic Types,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,1,Full-Time,1,Year-Round,2/10/2009,GLACIER COMMUNITY HEALTH CENTER INC,519 East Main Street,Cut Bank,MT,59427-3015,"Corporate Entity, Federal Tax Exempt",-112.3353175,48.63431474,N,N,30035,Glacier County,Glacier,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS40219,08E01423,BPS-H80-032229,Greater Valley Health Center - Evergreen Junior High,20 W Evergreen Dr RM 254,Kalispell,MT,59901-2810,406-607-4900,greatervalleyhealth.org,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/1/2021,"FLATHEAD COMMUNITY HEALTH CENTER, INC.",1035 1st Ave W,Kalispell,MT,59901-5626,"Corporate Entity, Federal Tax Exempt",-114.2788314,48.2247444,N,N,30029,Flathead County,Flathead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS32521,08E01322,BPS-H80-027420,Community Health Care Center SBHC Charles M. Russell High School,228 17th Avenue Northwest,Great Falls,MT,59404-1899,406-454-6973,,40,2,School,1,Active,,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/1/2019,"COMMUNITY HEALTH CARE CENTER, INCORPORATED",601 1st Avenue North,Great Falls,MT,59401-2510,"Corporate Entity, Federal Tax Exempt",-111.319841,47.52157321,N,N,30013,Cascade County,Cascade,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS28359,08E00382,BPS-H80-036282,Hamilton High School,327 Fairgrounds Rd,Hamilton,MT,59840-3135,406-375-6060,,40,2,School,1,Active,MO11006954,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,2/2/2023,"SAPPHIRE COMMUNITY HEALTH, INC","316 North 3rd Street, #101",Hamilton,MT,59840-2475,"Corporate Entity, Federal Tax Exempt",-114.1413747,46.25402891,N,N,30081,Ravalli County,Ravalli,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-035307,One Health - Dawson Community College,300 College Dr OFC 145,Glendive,MT,59330-1405,406-815-5831,,40,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,7/3/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-104.7249723,47.08588109,N,N,30021,Dawson County,Dawson,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS29012,08E01199,BPS-H80-015604,Marias Healthcare Services - Valier,422 Montana St,Valier,MT,59486-5506,406-279-3314,www.mmcmt.org,15,7,All Other Clinic Types,1,Active,271826,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/1/2015,MARIAS HEALTHCARE SERVICES INC,1950 West Roosevelt Highway,Shelby,MT,59474-1549,"Corporate Entity, Federal Tax Exempt",-112.2503628,48.30841934,N,N,30073,Pondera County,Pondera,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS24102,08E00468,BPS-H80-036024,One Health - Lewistown Annex,207 W Main St STE 5,Lewistown,MT,59457-2718,406-350-4338,,,0,Unknown,1,Active,,,1,Permanent,1,Administrative,1,Health Center/Applicant,0,Unknown,0,Unknown,12/8/2022,BIGHORN VALLEY HEALTH CENTER INC,10 4th St W STE B,Hardin,MT,59034-1804,"Corporate Entity, Federal Tax Exempt",-109.4251321,47.06602222,N,N,30027,Fergus County,Fergus,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS33884,83930,BPS-H80-038777,PureView Health Center Mobile Clinic,1930 9th Avenue,Helena,MT,59601-9753,406-457-0000,,30,7,All Other Clinic Types,1,Active,,,5,Mobile Van,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,6/3/2024,PUREVIEW HEALTH CENTER,1930 9th Avenue,Helena,MT,59601-9753,"Corporate Entity, Federal Tax Exempt",-112.0058861,46.58921255,N,N,30049,Lewis and Clark County,Lewis and Clark,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00528,83430,BPS-H80-037405,PHC - CS Porter School - Behavioral Health,2510 West Central Avenue,Missoula,MT,59804-6480,406-210-0402,https://www.mcpsmt.org/csporter,40,2,School,1,Active,271008,,2,Seasonal,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,9/1/2023,COUNTY OF MISSOULA,301 West Alder Street,Missoula,MT,59802-4192,U.S. Government Entity,-114.0411663,46.8505843,N,N,30063,Missoula County,Missoula,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS40219,08E01423,BPS-H80-039018,Greater Valley Health Center - Evergreen Crossroads,18 West Evergreen Drive,Kalispell,MT,59901-2810,406-607-4900,,30,2,School,1,Active,,,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,0,Unknown,0,Unknown,8/5/2024,"FLATHEAD COMMUNITY HEALTH CENTER, INC.",1035 1st Ave W,Kalispell,MT,59901-5626,"Corporate Entity, Federal Tax Exempt",-114.2772006,48.22584121,N,N,30029,Flathead County,Flathead,County            ,8,Region 8,30,Montana,3001,1,Montana District 01,MT-01,Ryan K. Zinke,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00418,82500,BPS-H80-007501,RiverStone Health Clinic - Worden,2469 Main St,Worden,MT,59088-2227,406-967-2255,www.riverstonehealth.org,24,7,All Other Clinic Types,1,Active,271832,1902195027,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,9/1/2007,YELLOWSTONE CITY COUNTY HEALTH DEPARTMENT,123 S 27th St,Billings,MT,59101-4227,U.S. Government Entity,-108.1614646,45.9634365,N,N,30111,Yellowstone County,Yellowstone,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
Federally Qualified Health Center (FQHC),H80CS00418,82500,BPS-H80-007503,RiverStone Health Clinic - Bridger,410 S 2nd St,Bridger,MT,59014-7788,406-662-3740,www.riverstonehealth.org,32,7,All Other Clinic Types,1,Active,271834,1073803318,1,Permanent,2,Service Delivery Site,1,Health Center/Applicant,2,Part-Time,1,Year-Round,9/1/2007,YELLOWSTONE CITY COUNTY HEALTH DEPARTMENT,123 S 27th St,Billings,MT,59101-4227,U.S. Government Entity,-108.9160253,45.29168044,N,N,30009,Carbon County,Carbon,County            ,8,Region 8,30,Montana,3002,2,Montana District 02,MT-02,Troy Downing,Jon Tester,Tim Sheehy,5/6/2025
